sietabcentreressource;siprojetnumecole;siprojetabintegreent;sivisioconferenc;charte_num;acces_web;terminaux_qualité;services_num;acces_ressources;maintenance
oui;oui;oui;oui;Mauvais;Bon;Moyen;Trés bien;Mauvais;Moyen
non;oui;oui;non;Mauvais;Moyen;Mauvais;Bien;Assez bien;Assez bien
non;oui;oui;oui;Mauvais;Bon;Moyen;Trés bien;Mauvais;Moyen
non;oui;oui;non;Moyen;Moyen;Mauvais;Bien;Bien;Assez bien
non;oui;oui;non;Mauvais;Moyen;Mauvais;Bien;Très bien;Assez bien
non;oui;oui;non;Moyen;Moyen;Mauvais;Trés bien;Mauvais;Moyen
non;oui;oui;oui;Très bien;Moyen;Mauvais;Bien;Très bien;Moyen
non;oui;oui;non;Moyen;Moyen;Mauvais;Bien;Bien;Assez bien
non;oui;oui;non;Moyen;Moyen;Mauvais;Bien;Très bien;Assez bien
non;oui;non;non;Très bien;Moyen;Mauvais;Bien;Assez bien;Trés bien
non;oui;non;non;Très bien;Moyen;Mauvais;Bien;Bien;Assez bien
non;oui;oui;non;Très bien;Moyen;Mauvais;Bien;Assez bien;Trés bien
oui;oui;oui;non;Moyen;Bon;Mauvais;Bien;Mauvais;Trés bien
non;oui;oui;non;Moyen;Moyen;Mauvais;Trés bien;Assez bien;Trés bien
non;oui;oui;non;Très bien;Bon;Mauvais;Bien;Assez bien;Assez bien
oui;oui;oui;non;Moyen;Bon;Moyen;Bien;Très bien;Moyen
non;oui;oui;non;Très bien;Moyen;Mauvais;Bien;Très bien;Assez bien
oui;oui;oui;non;Moyen;Moyen;Mauvais;Bien;Très bien;Assez bien
non;oui;oui;non;Mauvais;Bon;Moyen;Bien;Très bien;Bien
non;oui;oui;non;Très bien;Moyen;Mauvais;Bien;Bien;Bien
oui;oui;oui;non;Mauvais;Moyen;Mauvais;Trés bien;Très bien;Moyen
non;oui;oui;non;Mauvais;Moyen;Mauvais;Bien;Bien;Moyen
oui;oui;oui;oui;Bien;Bon;Bien;Trés bien;Mauvais;Moyen
oui;oui;oui;non;Très bien;Moyen;Mauvais;Bien;Assez bien;Moyen
oui;oui;oui;non;Bien;Moyen;Mauvais;Trés bien;Mauvais;Moyen
non;oui;oui;non;Très bien;Bon;Mauvais;Trés bien;Assez bien;Moyen
non;oui;oui;non;Moyen;Moyen;Mauvais;Bien;Bien;Bien
non;oui;oui;non;Très bien;Bon;Mauvais;Bien;Très bien;Trés bien
oui;oui;oui;oui;Très bien;Bon;Mauvais;Bien;Mauvais;Trés bien
non;oui;oui;non;Mauvais;Moyen;Mauvais;Bien;Assez bien;Assez bien
