Code_UAI;acces_ressources
0810016C;Assez bien
0810026N;Assez bien
0810041E;Mauvais
0810124V;Assez bien
0810125W;Bien
0811144D;Mauvais
0820883P;Bien
0090003E;Mauvais
0090006H;Bien
0090019X;Assez bien
0090025D;Bien
0090055L;Très bien
0110003U;Assez bien
0110010B;Bien
0110067N;Assez bien
0110665N;Mauvais
0110675Z;Très bien
0110870L;Mauvais
0120002M;Très bien
0120031U;Mauvais
0121176N;Très bien
0300023M;Mauvais
0300036B;Très bien
0300946R;Bien
0301010K;Mauvais
0301214G;Assez bien
0301232B;Mauvais
0310015Y;Très bien
0310022F;Assez bien
0310024H;Très bien
0310039Z;Assez bien
0310046G;Mauvais
0310052N;Assez bien
0310084Y;Bien
0311235Z;Très bien
0311265G;Très bien
0311266H;Assez bien
0311327Z;Bien
0311333F;Assez bien
0311335H;Assez bien
0311584D;Mauvais
0311586F;Assez bien
0311631E;Très bien
0311686P;Assez bien
0311687R;Mauvais
0311689T;Mauvais
0311851U;Mauvais
0312140H;Très bien
0312478A;Assez bien
0312610U;Très bien
0312729Y;Assez bien
0312759F;Assez bien
0312915A;Bien
0320015T;Mauvais
0320019X;Mauvais
0320021Z;Très bien
0320023B;Bien
0320028G;Mauvais
0320035P;Très bien
0320036R;Mauvais
0320074G;Très bien
0320562M;Très bien
0320608M;Mauvais
0340008Z;Assez bien
0340009A;Très bien
0340011C;Bien
0340053Y;Très bien
0340837A;Bien
0340973Y;Très bien
0340998A;Mauvais
0341030K;Assez bien
0341276C;Très bien
0341364Y;Très bien
0341388Z;Très bien
0341764H;Mauvais
0341794R;Très bien
0341870Y;Mauvais
0341921D;Assez bien
0342036D;Mauvais
0342050U;Très bien
0342225J;Très bien
0460013P;Assez bien
0460027E;Assez bien
0460030H;Bien
0460565P;Très bien
0460573Y;Très bien
0480004U;Très bien
0480005V;Très bien
0650025Z;Très bien
0650031F;Très bien
0650034J;Mauvais
0650050B;Très bien
0650089U;Très bien
0660001T;Mauvais
0660019M;Très bien
0660038H;Très bien
0090007J;Très bien
0090481Z;Très bien
0090546V;Très bien
0110037F;Assez bien
0110672W;Assez bien
0110721Z;Assez bien
0111048E;Bien
0120020G;Bien
0120024L;Assez bien
0120037A;Assez bien
0120878P;Mauvais
0121295T;Mauvais
0300037C;Mauvais
0300039E;Bien
0301210C;Bien
0301721H;Très bien
0310007P;Bien
0310012V;Assez bien
0310037X;Assez bien
0310041B;Mauvais
0310053P;Mauvais
0311094W;Mauvais
0311111P;Très bien
0311232W;Mauvais
0311338L;Très bien
0311582B;Assez bien
0311690U;Mauvais
0312307P;Très bien
0312696M;Assez bien
0312822Z;Mauvais
0320008K;Assez bien
0320009L;Assez bien
0320014S;Bien
0320033M;Assez bien
0340039H;Très bien
0340996Y;Très bien
0341363X;Bien
0341367B;Assez bien
0460026D;Mauvais
0460028F;Mauvais
0460592U;Très bien
0480003T;Très bien
0480016G;Bien
0480688M;Assez bien
0650003A;Très bien
0650014M;Mauvais
0650026A;Très bien
0650029D;Mauvais
0650038N;Très bien
0660011D;Mauvais
0660037G;Très bien
