,Rentrée scolaire,Académie,Code du département,Département,UAI,Nom de l'établissment,Code INSEE de la commune,Nom de la commune,Secteur,IPS
3231,2021-2022,MONTPELLIER,034,HERAULT,0341278E,COLLEGE ARTHUR RIMBAUD,34172,MONTPELLIER,public,68.5
3232,2021-2022,MONTPELLIER,034,HERAULT,0341321B,COLLEGE KATIA ET MAURICE KRAFFT,34032,BEZIERS,public,77.6
3233,2021-2022,MONTPELLIER,034,HERAULT,0341363X,COLLEGE DE LA VOIE DOMITIENNE,34090,LE CRES,public,121.1
3234,2021-2022,MONTPELLIER,034,HERAULT,0341364Y,COLLEGE GERARD PHILIPE,34172,MONTPELLIER,public,77.8
3235,2021-2022,MONTPELLIER,034,HERAULT,0341368C,COLLEGE DE L ETANG DE L OR,34154,MAUGUIO,public,120.0
3236,2021-2022,MONTPELLIER,034,HERAULT,0341386X,COLLEGE LO TRENTANEL,34114,GIGNAC,public,113.6
3237,2021-2022,MONTPELLIER,034,HERAULT,0341537L,COLLEGE FREDERIC MISTRAL,34198,PEROLS,public,119.1
3238,2021-2022,MONTPELLIER,034,HERAULT,0341893Y,COLLEGE PAUL EMILE VICTOR,34003,AGDE,public,88.7
3239,2021-2022,MONTPELLIER,034,HERAULT,0342052W,COLLEGE SIMONE DE BEAUVOIR,34108,FRONTIGNAN,public,108.0
3421,2021-2022,MONTPELLIER,048,LOZERE,0480004U,COLLEGE MARTHE DUPEYRON,48080,LANGOGNE,public,109.5
3422,2021-2022,MONTPELLIER,048,LOZERE,0480005V,COLLEGE MARCEL PIERREL,48092,MARVEJOLS,public,110.6
3423,2021-2022,MONTPELLIER,048,LOZERE,0480013D,COLLEGE HAUT GEVAUDAN,48140,SAINT CHELY D APCHER,public,106.6
3424,2021-2022,MONTPELLIER,048,LOZERE,0480016G,COLLEGE DU TRENZE,48194,VIALAS,public,82.9
3425,2021-2022,MONTPELLIER,048,LOZERE,0480678B,COLLEGE PRIVE SAINT PIERRE SAINT PAUL,48080,LANGOGNE,privé sous contrat,106.4
3718,2021-2022,MONTPELLIER,066,PYRENEES-ORIENTALES,0660037G,COLLEGE JOFFRE,66164,RIVESALTES,public,91.5
3719,2021-2022,MONTPELLIER,066,PYRENEES-ORIENTALES,0660038H,COLLEGE DE LA COTE VERMEILLE,66148,PORT VENDRES,public,99.2
3720,2021-2022,MONTPELLIER,066,PYRENEES-ORIENTALES,0660063K,INSTITUTION LA SALLE SAINT JEAN COLLEGE PRIVE,66136,PERPIGNAN,privé sous contrat,122.6
3721,2021-2022,MONTPELLIER,066,PYRENEES-ORIENTALES,0660600U,COLLEGE,66025,BOURG MADAME,public,109.2
3722,2021-2022,MONTPELLIER,066,PYRENEES-ORIENTALES,0660846L,COLLEGE PRIVE SAINT PIERRE DE LA MER,66171,SAINT CYPRIEN,privé sous contrat,123.5
3723,2021-2022,MONTPELLIER,066,PYRENEES-ORIENTALES,0660864F,COLLEGE FRANCOIS MITTERRAND,66213,TOULOUGES,public,108.8
4345,2021-2022,MONTPELLIER,011,AUDE,0110021N,COLLEGE VICTOR HUGO,11262,NARBONNE,public,91.9
4346,2021-2022,MONTPELLIER,011,AUDE,0110037F,COLLEGE ALAIN,11069,CARCASSONNE,public,89.7
4347,2021-2022,MONTPELLIER,011,AUDE,0110049U,COLLEGE PRIVE INSTITUTION SEVIGNE,11262,NARBONNE,privé sous contrat,110.7
4348,2021-2022,MONTPELLIER,011,AUDE,0110667R,COLLEGE PIERRE ET MARIE CURIE,11315,RIEUX MINERVOIS,public,97.1
4349,2021-2022,MONTPELLIER,011,AUDE,0110725D,COLLEGE LA NADIERE,11266,PORT LA NOUVELLE,public,89.8
4350,2021-2022,MONTPELLIER,011,AUDE,0111034P,COLLEGE PRIVE L AMANDIER,11203,LEZIGNAN CORBIERES,privé sous contrat,94.3
4570,2021-2022,MONTPELLIER,030,GARD,0300013B,COLLEGE LE CASTELLAS,30037,BESSEGES,public,84.2
4571,2021-2022,MONTPELLIER,030,GARD,0300016E,COLLEGE DE LA REGORDANE,30130,GENOLHAC,public,102.7
4572,2021-2022,MONTPELLIER,030,GARD,0300020J,COLLEGE ANTOINE DEPARCIEUX,30159,LE MARTINET,public,86.2
4573,2021-2022,MONTPELLIER,030,GARD,0300031W,COLLEGE GEORGE VILLE,30202,PONT SAINT ESPRIT,public,97.0
4574,2021-2022,MONTPELLIER,030,GARD,0300037C,COLLEGE JEAN VILAR,30258,SAINT GILLES,public,84.9
4575,2021-2022,MONTPELLIER,030,GARD,0300929X,COLLEGE DU MONT DUPLAN,30189,NIMES,public,101.7
4576,2021-2022,MONTPELLIER,030,GARD,0300947S,COLLEGE ALPHONSE DAUDET,30007,ALES,public,81.2
4577,2021-2022,MONTPELLIER,030,GARD,0300949U,COLLEGE JEAN RACINE,30007,ALES,public,107.6
4578,2021-2022,MONTPELLIER,030,GARD,0300996V,COLLEGE PRIVE SAMUEL VINCENT,30189,NIMES,privé sous contrat,94.0
4579,2021-2022,MONTPELLIER,030,GARD,0301012M,COLLEGE LEO LARGUIER,30132,LA GRAND COMBE,public,79.6
4580,2021-2022,MONTPELLIER,030,GARD,0301211D,COLLEGE LE BOSQUET,30028,BAGNOLS SUR CEZE,public,93.5
4581,2021-2022,MONTPELLIER,030,GARD,0301244P,COLLEGE PRIVE SAINT FIRMIN,30334,UZES,privé sous contrat,112.6
4582,2021-2022,MONTPELLIER,030,GARD,0301284H,COLLEGE JEAN ROSTAND,30189,NIMES,public,103.3
4583,2021-2022,MONTPELLIER,030,GARD,0301354J,COLLEGE PRIVE BELLEVUE,30007,ALES,privé sous contrat,115.8
4584,2021-2022,MONTPELLIER,030,GARD,0301653J,COLLEGE PRIVEE D ALZON CANDIAC,30347,VESTRIC ET CANDIAC,privé sous contrat,110.8
4585,2021-2022,MONTPELLIER,030,GARD,0301671D,COLLEGE LE VIGNET,30062,CALVISSON,public,119.4
4638,2021-2022,MONTPELLIER,034,HERAULT,0340024S,COLLEGE VOLTAIRE,34101,FLORENSAC,public,99.0
4639,2021-2022,MONTPELLIER,034,HERAULT,0340031Z,COLLEGE FREDERIC MISTRAL,34145,LUNEL,public,78.6
4640,2021-2022,MONTPELLIER,034,HERAULT,0340034C,COLLEGE ROGER CONTREPAS,34151,MARSILLARGUES,public,97.7
4641,2021-2022,MONTPELLIER,034,HERAULT,0340054Z,COLLEGE LE CEDRE,34178,MURVIEL LES BEZIERS,public,104.2
4642,2021-2022,MONTPELLIER,034,HERAULT,0340836Z,COLLEGE PAUL RIQUET,34032,BEZIERS,public,66.8
4643,2021-2022,MONTPELLIER,034,HERAULT,0340883A,COLLEGE PRIVE SAINT ROCH,34172,MONTPELLIER,privé sous contrat,113.3
4644,2021-2022,MONTPELLIER,034,HERAULT,0340885C,COLLEGE PRIVE SAINT JOSEPH,34301,SETE,privé sous contrat,119.4
4645,2021-2022,MONTPELLIER,034,HERAULT,0340899T,COLLEGE PRIVE SAINTE MARIE LA SALLE,34172,MONTPELLIER,privé sous contrat,139.4
4646,2021-2022,MONTPELLIER,034,HERAULT,0340973Y,COLLEGE JEAN JAURES,34157,MEZE,public,99.6
4647,2021-2022,MONTPELLIER,034,HERAULT,0341366A,COLLEGE DU SALAGOU,34079,CLERMONT L HERAULT,public,100.5
4648,2021-2022,MONTPELLIER,034,HERAULT,0341424N,COLLEGE LOUISE MICHEL,34111,GANGES,public,111.2
4649,2021-2022,MONTPELLIER,034,HERAULT,0341592W,COLLEGE MARCEL PAGNOL,34172,MONTPELLIER,public,77.7
4650,2021-2022,MONTPELLIER,034,HERAULT,0341705U,COLLEGE ALAIN SAVARY,34276,SAINT MATHIEU DE TREVIERS,public,122.7
4651,2021-2022,MONTPELLIER,034,HERAULT,0341764H,COLLEGE FRANCOIS VILLON,34255,SAINT GELY DU FESC,public,132.7
4652,2021-2022,MONTPELLIER,034,HERAULT,0341826A,COLLEGE FRANCOIS MITTERRAND,34077,CLAPIERS,public,131.4
4653,2021-2022,MONTPELLIER,034,HERAULT,0342050U,COLLEGE FRANCOISE GIROUD,34329,VENDRES,public,102.1
4654,2021-2022,MONTPELLIER,034,HERAULT,0342051V,COLLEGE VINCENT BADIE,34163,MONTARNAUD,public,121.2
4655,2021-2022,MONTPELLIER,034,HERAULT,0342132H,COLLEGE LUCIE AUBRAC,34032,BEZIERS,public,73.7
4826,2021-2022,MONTPELLIER,048,LOZERE,0480017H,COLLEGE ODILON BARROT,48198,VILLEFORT,public,99.0
4827,2021-2022,MONTPELLIER,048,LOZERE,0480607Z,COLLEGE HENRI BOURRILLON,48095,MENDE,public,110.6
5097,2021-2022,MONTPELLIER,066,PYRENEES-ORIENTALES,0660016J,COLLEGE LA GARRIGOLE,66136,PERPIGNAN,public,74.9
5098,2021-2022,MONTPELLIER,066,PYRENEES-ORIENTALES,0660018L,COLLEGE MADAME DE SEVIGNE,66136,PERPIGNAN,public,71.4
5099,2021-2022,MONTPELLIER,066,PYRENEES-ORIENTALES,0660029Y,COLLEGE JOSEPH CALVET,66187,SAINT PAUL DE FENOUILLET,public,91.0
5100,2021-2022,MONTPELLIER,066,PYRENEES-ORIENTALES,0660051X,COLLEGE ALBERT CAMUS,66136,PERPIGNAN,public,67.1
5101,2021-2022,MONTPELLIER,066,PYRENEES-ORIENTALES,0660058E,COLLEGE PRIVE SAINT LOUIS DE GONZAGUE,66136,PERPIGNAN,privé sous contrat,123.0
5102,2021-2022,MONTPELLIER,066,PYRENEES-ORIENTALES,0660061H,COLLEGE PRIVE MAINTENON,66136,PERPIGNAN,privé sous contrat,118.6
5103,2021-2022,MONTPELLIER,066,PYRENEES-ORIENTALES,0660521H,COLLEGE PAU CASALS,66028,CABESTANY,public,105.6
5104,2021-2022,MONTPELLIER,066,PYRENEES-ORIENTALES,0660653B,COLLEGE JULES VERNE,66195,LE SOLER,public,100.8
5739,2021-2022,MONTPELLIER,011,AUDE,0110010B,COLLEGE ANDRE CHENIER,11069,CARCASSONNE,public,96.3
5740,2021-2022,MONTPELLIER,011,AUDE,0110026U,COLLEGE JULES FERRY,11262,NARBONNE,public,94.1
5741,2021-2022,MONTPELLIER,011,AUDE,0110052X,COLLEGE PRIVE SAINT JOSEPH DE CLUNY,11206,LIMOUX,privé sous contrat,97.1
5742,2021-2022,MONTPELLIER,011,AUDE,0110068P,COLLEGE GEORGES BRASSENS,11262,NARBONNE,public,85.4
5743,2021-2022,MONTPELLIER,011,AUDE,0110666P,COLLEGE LE BASTION,11069,CARCASSONNE,public,99.4
5744,2021-2022,MONTPELLIER,011,AUDE,0110672W,COLLEGE JULES VERNE,11069,CARCASSONNE,public,81.0
5745,2021-2022,MONTPELLIER,011,AUDE,0110676A,COLLEGE SAINT EXUPERY,11049,BRAM,public,105.6
5746,2021-2022,MONTPELLIER,011,AUDE,0110721Z,COLLEGE ANTOINE COURRIERE,11115,CUXAC CABARDES,public,108.3
5747,2021-2022,MONTPELLIER,011,AUDE,0110788X,COLLEGE MONTESQUIEU,11262,NARBONNE,public,90.4
5943,2021-2022,MONTPELLIER,030,GARD,0300001N,COLLEGE IRENE JOLIOT CURIE,30003,AIGUES MORTES,public,98.0
5944,2021-2022,MONTPELLIER,030,GARD,0300036B,COLLEGE ARMAND COUSSENS,30227,SAINT AMBROIX,public,95.6
5945,2021-2022,MONTPELLIER,030,GARD,0300043J,COLLEGE JEAN BAPTISTE DUMAS,30305,SALINDRES,public,105.9
