,label,annee,localite,departement,nom_etablissement,position,rne,latitude,longitude
717,1,2018,Toulouse,031,Lycée polyvalent Raymond Nâves,"[43.6382628187, 1.46277984944]",0310040A,43.6382628187,1.46277984944
718,3,2019,Toulouse,031,Lycée d'enseignement général Saint Sernin,"[43.6086892744, 1.44015057728]",0310041B,43.6086892744,1.44015057728
719,1,2019,Toulouse,031,Lycée professionnel Gabriel Péri,"[43.6058953911, 1.45491966936]",0310056T,43.6058953911,1.45491966936
720,3,2021,Toulouse,031,Lycée d'enseignement général et technologique Marcelin Berthelot,"[43.587369724, 1.44316036526]",0310039Z,43.587369724,1.44316036526
721,1,2021,Toulouse,031,Lycée polyvalent Déodat de Séverac,"[43.5891404207, 1.42645980489]",0310044E,43.5891404207,1.42645980489
722,1,2021,Toulouse,031,Lycée professionnel Stéphane Hessel,"[43.6159580945, 1.47733000113]",0310091F,43.6159580945,1.47733000113
723,1,2021,Toulouse,031,Lycée polyvalent des Métiers Joseph Galliéni,"[43.573407691, 1.42613974897]",0312759F,43.573407691,1.42613974897
724,1,2021,Tournefeuille,031,Lycée polyvalent Marie Louise Dissard Françoise,"[43.5766897088, 1.31268051419]",0312746S,43.5766897088,1.31268051419
725,1,2018,Valence,082,Lycée polyvalent Jean Baylet,"[44.1136116201, 0.896530489756]",0820899G,44.1136116201,0.896530489756
726,1,2017,Vic-en-Bigorre,065,Lycée professionnel Pierre Mendès France,"[43.3887579296, 0.056319712331]",0650035K,43.3887579296,0.056319712331
727,1,2021,Vic-en-Bigorre,065,Lycée professionnel Pierre Mendès France,"[43.3887579296, 0.056319712331]",0650035K,43.3887579296,0.056319712331
728,1,2018,Villefranche-de-Rouergue,012,Lycée d'enseignement général et technologique Agricole Epla de Villefranche de Rouergue,"[44.352189, 2.025009]",0120621K,44.352189,2.025009
729,1,2018,Villefranche-de-Rouergue,012,Lycée d'enseignement général et technologique Raymond Savignac,"[44.3546424798, 2.03704937648]",0120031U,44.3546424798,2.03704937648
730,1,2018,Villefranche-de-Rouergue,012,Établissement régional d'enseignement adapté,"[44.3506941408, 2.00269023412]",0121178R,44.3506941408,2.00269023412
731,1,2019,Villefranche-de-Rouergue,012,Lycée d'enseignement général et technologique Raymond Savignac,"[44.3546424798, 2.03704937648]",0120031U,44.3546424798,2.03704937648
732,1,2018,Villelongue-dels-Monts,066,Lycée professionnel Alfred Sauvy,"[42.5438599342, 2.89186960559]",0660026V,42.5438599342,2.89186960559
733,2,2021,Villelongue-dels-Monts,066,Lycée professionnel Alfred Sauvy,"[42.5438599342, 2.89186960559]",0660026V,42.5438599342,2.89186960559
