RNE,Année,Nom établissement,Localité,Département_dflabels,Label,Position,Rentrée scolaire,Académie,Code du département,Département_dfIPS,Nom de l'établissment,Code INSEE de la commune,Nom de la commune,Secteur,IPS
0340062H,2021,Collège Via Domitia,Poussan,34,2,"43.4861817938, 3.66554039336",2021-2022,MONTPELLIER,034,HERAULT,COLLEGE VIA DOMITIA,34213,POUSSAN,public,110.7
0480011B,2021,Collège André Chamson,Meyrueis,48,2,"44.1799498461, 3.43142941984",2021-2022,MONTPELLIER,048,LOZERE,COLLEGE ANDRE CHAMSON,48096,MEYRUEIS,public,104.1
0480003T,2021,Collège des Trois Vallées,Florac,48,2,"44.3219028103, 3.59757997599",2021-2022,MONTPELLIER,048,LOZERE,COLLEGE DES TROIS VALLEES,48061,FLORAC TROIS RIVIERES,public,106.8
0341764H,2021,Collège François Villon,Saint-Gély-du-Fesc,34,2,"43.6926718053, 3.79933962463",2021-2022,MONTPELLIER,034,HERAULT,COLLEGE FRANCOIS VILLON,34255,SAINT GELY DU FESC,public,132.7
0301012M,2021,Collège Léo Larguier,La Grand-Combe,30,2,"44.2101391558, 4.03036051229",2021-2022,MONTPELLIER,030,GARD,COLLEGE LEO LARGUIER,30132,LA GRAND COMBE,public,79.6
0340115R,2021,Collège Paul Valéry,Sète,34,2,"43.4012170981, 3.69155034747",2021-2022,MONTPELLIER,034,HERAULT,COLLEGE PAUL VALERY,34301,SETE,public,103.8
0340063J,2021,Collège Louis Cahuzac,Quarante,34,2,"43.3442586389, 2.96429025336",2021-2022,MONTPELLIER,034,HERAULT,COLLEGE LOUIS CAHUZAC,34226,QUARANTE,public,100.3
0301723K,2021,Collège Théodore Monod,Clarensac,30,2,"43.826028832, 4.23046940861",2021-2022,MONTPELLIER,030,GARD,COLLEGE THEODORE MONOD,30082,CLARENSAC,public,120.2
0480016G,2021,Collège du Trenze,Vialas,48,2,"44.3331989353, 3.89597048145",2021-2022,MONTPELLIER,048,LOZERE,COLLEGE DU TRENZE,48194,VIALAS,public,82.9
0660051X,2021,Collège Albert Camus,Perpignan,66,2,"42.6911542142, 2.9090199574",2021-2022,MONTPELLIER,066,PYRENEES-ORIENTALES,COLLEGE ALBERT CAMUS,66136,PERPIGNAN,public,67.1
0660648W,2021,Collège la Côte Radieuse,Canet-en-Roussillon,66,2,"42.7051558749, 2.99772032008",2021-2022,MONTPELLIER,066,PYRENEES-ORIENTALES,COLLEGE LA COTE RADIEUSE,66037,CANET EN ROUSSILLON,public,103.4
0660523K,2021,Collège Paul Langevin,Elne,66,2,"42.6133158471, 2.9781896986",2021-2022,MONTPELLIER,066,PYRENEES-ORIENTALES,COLLEGE PAUL LANGEVIN,66065,ELNE,public,99.6
0300033Y,2021,Collège Voltaire,Remoulins,30,2,"43.9391477432, 4.57085010929",2021-2022,MONTPELLIER,030,GARD,COLLEGE VOLTAIRE,30212,REMOULINS,public,113.1
0340016H,2021,Collège la Dullague,Béziers,34,2,"43.3426599739, 3.23330961701",2021-2022,MONTPELLIER,034,HERAULT,COLLEGE LA DULLAGUE,34032,BEZIERS,public,78.0
0301671D,2021,Collège Le Vignet,Calvisson,30,2,"43.7831648894, 4.20125983579",2021-2022,MONTPELLIER,030,GARD,COLLEGE LE VIGNET,30062,CALVISSON,public,119.4
0300036B,2021,Collège Armand Coussens,Saint-Ambroix,30,2,"44.2591054169, 4.19778969588",2021-2022,MONTPELLIER,030,GARD,COLLEGE ARMAND COUSSENS,30227,SAINT AMBROIX,public,95.6
0110666P,2021,Collège Le Bastion,Carcassonne,11,2,"43.2164456747, 2.34890030778",2021-2022,MONTPELLIER,011,AUDE,COLLEGE LE BASTION,11069,CARCASSONNE,public,99.4
0340024S,2021,Collège Voltaire,Florensac,34,2,"43.386879459, 3.46471973603",2021-2022,MONTPELLIER,034,HERAULT,COLLEGE VOLTAIRE,34101,FLORENSAC,public,99.0
0340086J,2021,Collège Frédéric Bazille,Castelnau-le-Lez,34,2,"43.6339667949, 3.90880976798",2021-2022,MONTPELLIER,034,HERAULT,COLLEGE FREDERIC BAZILLE,34057,CASTELNAU LE LEZ,public,114.5
0660866H,2021,Collège Jean Rous,Pia,66,2,"42.7401372813, 2.92554017198",2021-2022,MONTPELLIER,066,PYRENEES-ORIENTALES,COLLEGE JEAN ROUS,66141,PIA,public,87.9
0660864F,2021,Collège François Mitterrand,Toulouges,66,2,"42.6654908741, 2.8406905042",2021-2022,MONTPELLIER,066,PYRENEES-ORIENTALES,COLLEGE FRANCOIS MITTERRAND,66213,TOULOUGES,public,108.8
0660848N,2021,Collège Alice et Jean Olibo,Saint-Cyprien,66,2,"42.6230964794, 3.00866033295",2021-2022,MONTPELLIER,066,PYRENEES-ORIENTALES,COLLEGE ALICE ET JEAN OLIBO,66171,SAINT CYPRIEN,public,98.4
0660634F,2021,Collège Climatique et Sportif,Font-Romeu-Odeillo-Via,66,2,"42.5150970307, 2.03995955126",2021-2022,MONTPELLIER,066,PYRENEES-ORIENTALES,COLLEGE CLIMATIQUE ET SPORTIF,66124,FONT ROMEU ODEILLO VIA,public,114.4
0660012E,2021,Collège Joseph Sébastien Pons,Perpignan,66,2,"42.7197414277, 2.89175023197",2021-2022,MONTPELLIER,066,PYRENEES-ORIENTALES,COLLEGE JOSEPH SEBASTIEN PONS,66136,PERPIGNAN,public,63.8
0660001T,2021,Collège des Albères,Argelès-sur-Mer,66,2,"42.5500382677, 3.02841056816",2021-2022,MONTPELLIER,066,PYRENEES-ORIENTALES,COLLEGE DES ALBERES,66008,ARGELES SUR MER,public,96.6
0341366A,2021,Collège du Salagou,Clermont-l'Hérault,34,2,"43.6341692684, 3.43125035714",2021-2022,MONTPELLIER,034,HERAULT,COLLEGE DU SALAGOU,34079,CLERMONT L HERAULT,public,100.5
0342131G,2021,Collège François Rabelais,Montpellier,34,2,"43.6260229991, 3.83347044839",2021-2022,MONTPELLIER,034,HERAULT,COLLEGE FRANCOIS RABELAIS,34172,MONTPELLIER,public,91.3
0660038H,2021,Collège de la Côte Vermeille,Port-Vendres,66,2,"42.520036821, 3.10255948226",2021-2022,MONTPELLIER,066,PYRENEES-ORIENTALES,COLLEGE DE LA COTE VERMEILLE,66148,PORT VENDRES,public,99.2
0660049V,2021,Collège Jean Moulin,Perpignan,66,2,"42.6969467289, 2.899559487",2021-2022,MONTPELLIER,066,PYRENEES-ORIENTALES,COLLEGE JEAN MOULIN,66136,PERPIGNAN,public,98.6
0660018L,2021,Collège Madame de Sévigné,Perpignan,66,2,"42.6842308397, 2.88608980902",2021-2022,MONTPELLIER,066,PYRENEES-ORIENTALES,COLLEGE MADAME DE SEVIGNE,66136,PERPIGNAN,public,71.4
0340021N,2021,Collège Jules Ferry,Cazouls-lès-Béziers,34,2,"43.3898154424, 3.1016801846",2021-2022,MONTPELLIER,034,HERAULT,COLLEGE JULES FERRY,34069,CAZOULS LES BEZIERS,public,98.8
0301816L,2021,Collège Claude Chappe,Gallargues-le-Montueux,30,2,"43.7180458029, 4.17628042313",2021-2022,MONTPELLIER,030,GARD,COLLEGE CLAUDE CHAPPE,30123,GALLARGUES LE MONTUEUX,public,110.8
0300032X,2021,Collège de Coutach,Quissac,30,2,"43.9134526084, 3.99461994587",2021-2022,MONTPELLIER,030,GARD,COLLEGE DE COUTACH,30210,QUISSAC,public,113.4
