RNE,Année,Nom établissement,Localité,Département_dflabels,Label,Position,Rentrée scolaire,Académie,Code du département,Département_dfIPS,Nom de l'établissment,Code INSEE de la commune,Nom de la commune,Secteur,IPS
0341893Y,2021,Collège Paul Émile Victor,Agde,34,3,"43.3022597724, 3.48527038242",2021-2022,MONTPELLIER,034,HERAULT,COLLEGE PAUL EMILE VICTOR,34003,AGDE,public,88.7
0341421K,2021,Collège Joffre,Montpellier,34,3,"43.6117701665, 3.88673979066",2021-2022,MONTPELLIER,034,HERAULT,COLLEGE JOFFRE,34172,MONTPELLIER,public,110.6
0340972X,2021,Collège Victor Hugo,Sète,34,3,"43.4084449513, 3.70024943939",2021-2022,MONTPELLIER,034,HERAULT,COLLEGE VICTOR HUGO,34301,SETE,public,87.8
0340056B,2021,Collège UPP Saint Pons de Thomières,Olargues,34,3,"43.5562032972, 2.91673961042",,,,,,,,,
0301326D,2021,Collège André Chamson,Le Vigan,30,3,"43.989870598, 3.60065939066",2021-2022,MONTPELLIER,030,GARD,COLLEGE ANDRE CHAMSON,30350,LE VIGAN,public,94.9
0301232B,2021,Collège Gaston Doumergue,Sommières,30,3,"43.7847374416, 4.08325039108",2021-2022,MONTPELLIER,030,GARD,COLLEGE GASTON DOUMERGUE,30321,SOMMIERES,public,113.4
0301014P,2021,Collège Denis Diderot,Alès,30,3,"44.1328062981, 4.07873052994",2021-2022,MONTPELLIER,030,GARD,COLLEGE DENIS DIDEROT,30007,ALES,public,88.2
0300043J,2021,Collège Jean Baptiste Dumas,Salindres,30,3,"44.1664128318, 4.16061997374",2021-2022,MONTPELLIER,030,GARD,COLLEGE JEAN BAPTISTE DUMAS,30305,SALINDRES,public,105.9
0111051H,2021,Collège Rosa Parks,Lézignan-Corbières,11,3,"43.184518864, 2.7595799942",2021-2022,MONTPELLIER,011,AUDE,COLLEGE ROSA PARKS,11203,LEZIGNAN CORBIERES,public,92.5
0110870L,2021,Collège Antoine Pons,Chalabre,11,3,"42.9851089045, 2.00497993951",2021-2022,MONTPELLIER,011,AUDE,COLLEGE ANTOINE PONS,11091,CHALABRE,public,98.2
0110686L,2021,Collège Joseph Anglade,Lézignan-Corbières,11,3,"43.196809464, 2.76527043622",2021-2022,MONTPELLIER,011,AUDE,COLLEGE JOSEPH ANGLADE,11203,LEZIGNAN CORBIERES,public,95.5
0300025P,2021,Collège Romain Rolland,Nîmes,30,3,"43.8446529432, 4.39021018203",2021-2022,MONTPELLIER,030,GARD,COLLEGE ROMAIN ROLLAND,30189,NIMES,public,56.4
0300016E,2021,Collège de la Regordane,Génolhac,30,3,"44.3495919152, 3.94858022887",2021-2022,MONTPELLIER,030,GARD,COLLEGE DE LA REGORDANE,30130,GENOLHAC,public,102.7
0110025T,2021,Collège Cité,Narbonne,11,3,"43.1871871048, 3.00827041122",2021-2022,MONTPELLIER,011,AUDE,COLLEGE CITE,11262,NARBONNE,public,108.3
0301010K,2021,Collège Ada Lovelace,Nîmes,30,3,"43.8588460926, 4.39110910066",2021-2022,MONTPELLIER,030,GARD,COLLEGE ADA LOVELACE,30189,NIMES,public,81.9
0301209B,2021,Collège les Fontaines,Bouillargues,30,3,"43.8003340623, 4.43454976935",2021-2022,MONTPELLIER,030,GARD,COLLEGE LES FONTAINES,30047,BOUILLARGUES,public,112.3
0301245R,2021,Collège Lou Castellas,Marguerittes,30,3,"43.8643880293, 4.44129998288",2021-2022,MONTPELLIER,030,GARD,COLLEGE LOU CASTELLAS,30156,MARGUERITTES,public,106.4
0301214G,2021,Collège du Mourion,Villeneuve-lès-Avignon,30,3,"43.9762220762, 4.78356042514",2021-2022,MONTPELLIER,030,GARD,COLLEGE DU MOURION,30351,VILLENEUVE LES AVIGNON,public,124.8
0660865G,2021,Collège Pierre Mendès France,Saint-André,66,3,"42.5541189497, 2.96351977326",2021-2022,MONTPELLIER,066,PYRENEES-ORIENTALES,COLLEGE PIERRE MENDES FRANCE,66168,SAINT ANDRE,public,109.9
0660601V,2021,Collège Jean Amade,Céret,66,3,"42.4868710371, 2.75436022644",2021-2022,MONTPELLIER,066,PYRENEES-ORIENTALES,COLLEGE JEAN AMADE,66049,CERET,public,103.4
0660480N,2021,Collège Jean Moulin,Arles-sur-Tech,66,3,"42.4571318685, 2.63197039146",2021-2022,MONTPELLIER,066,PYRENEES-ORIENTALES,COLLEGE JEAN MOULIN,66009,ARLES SUR TECH,public,90.2
0660016J,2021,Collège la Garrigole,Perpignan,66,3,"42.6948472397, 2.86727657243",2021-2022,MONTPELLIER,066,PYRENEES-ORIENTALES,COLLEGE LA GARRIGOLE,66136,PERPIGNAN,public,74.9
0480002S,2021,Collège Henri Gamala,Le Collet-de-Dèze,48,3,"44.2458831779, 3.91986047952",2021-2022,MONTPELLIER,048,LOZERE,COLLEGE HENRI GAMALA,48051,LE COLLET DE DEZE,public,105.1
0340119V,2021,Collège Ferdinand Fabre,Bédarieux,34,3,"43.6109247059, 3.15462945714",2021-2022,MONTPELLIER,034,HERAULT,COLLEGE FERDINAND FABRE,34028,BEDARIEUX,public,94.4
0340070S,2021,Collège du Jaur,Saint-Pons-de-Thomières,34,3,"43.485152687, 2.77101015912",2021-2022,MONTPELLIER,034,HERAULT,COLLEGE DU JAUR,34284,SAINT PONS DE THOMIERES,public,97.0
0301670C,2021,Collège Frédéric Desmons,Saint-Geniès-de-Malgoirès,30,3,"43.9446156949, 4.22176967663",2021-2022,MONTPELLIER,030,GARD,COLLEGE FREDERIC DESMONS,30255,SAINT GENIES DE MALGOIRES,public,104.2
