Année;RNE;Nom établissement;Localité;Département;Niveau de Label;Position
2018;0301270T;Lycée professionnel Jules Raimu;Nîmes;030;2;43.8194463251, 4.33025974761
2019;0301210C;Lycée professionnel Voltaire;Nîmes;030;1;43.8267667577, 4.33706002093
2019;0301270T;Lycée professionnel Jules Raimu;Nîmes;030;2;43.8194463251, 4.33025974761
2018;0320025D;"Lycée polyvalent des Métiers d'Artagnan
d'Artagnan";Nogaro;032;1;43.7541919005, -0.0279502060966
2021;0320025D;Lycée polyvalent des Métiers d'Artagnan;Nogaro;032;2;43.7541919005, -0.0279502060966
2018;0090022A;Lycée d'enseignement général et technologique Agricole Epla de Pamiers;Pamiers;009;2;43.123536, 1.643413
2017;0660014G;Lycée polyvalent Pablo Picasso;Perpignan;066;3;42.6966809866, 2.92661960371
2017;0660520G;Lycée professionnel Léon Blum;Perpignan;066;1;42.6773858181, 2.90618041918
2018;0660011D;Lycée polyvalent Jean Lurçat;Perpignan;066;1;42.6924472063, 2.90913006884
2018;0660014G;Lycée polyvalent Pablo Picasso;Perpignan;066;3;42.6966809866, 2.92661960371
2019;0660010C;Lycée d'enseignement général et technologique François Arago;Perpignan;066;2;42.6947528759, 2.8860399788
2019;0660520G;Lycée professionnel Léon Blum;Perpignan;066;1;42.6773858181, 2.90618041918
2021;0660520G;Lycée professionnel Léon Blum;Perpignan;066;1;42.6773858181, 2.90618041918
2017;0341059S;Lycée professionnel Pézenas;Pézenas;034;1;43.456995, 3.417222
2018;0341059S;Lycée professionnel Pézenas;Pézenas;034;1;43.456995, 3.417222
2019;0340061G;Lycée professionnel Charles Alliès;Pézenas;034;1;43.4572682191, 3.41767006933
2021;0312744P;Lycée polyvalent Jean Pierre Vernant;Pins-Justaret;031;1;43.4776456418, 1.38849040142
2021;0660021P;Lycée polyvalent Charles Renouvier;Prades;066;3;42.6242604437, 2.41702969015
2019;0310028M;Lycée d'enseignement général et technologique des Métiers Vincent Auriol;Revel;031;1;43.4560009798, 2.01188962995
2021;0310088C;Lycée professionnel des Métiers d'Art du Bois;Revel;031;1;43.4513534847, 2.00555736632
2019;0320646D;Lycée professionnel Riscle;Riscle;032;1;43.657837, -0.082816
2018;0660039J;Lycée professionnel Rivesaltes;Rivesaltes;066;1;42.76597, 2.871154
2019;0120938E;Lycée professionnel Saint Affrique;Saint-Affrique;012;1;43.957995, 2.850645
2018;0480514Y;Lycée d'enseignement général et technologique agricole François Rabelais Agricole François Rabelais;Saint-Chély-d'Apcher;048;1;44.806931, 3.30294
2018;0480688M;Lycée polyvalent des Métiers Théophile Roussel;Saint-Chély-d'Apcher;048;1;44.8037071463, 3.27366945533
2017;0301778V;Lycée polyvalent Jacques Prévert;Saint-Christol-lès-Alès;030;2;44.0931630254, 4.08262261102
2021;0301778V;Lycée polyvalent Jacques Prévert;Saint-Christol-lès-Alès;030;3;44.0931630254, 4.08262261102
2018;0090019X;Lycée professionnel Aristide Bergès;Saint-Girons;009;2;42.961643947, 1.09161975514
2019;0090018W;Lycée d'enseignement général du Couserans;Saint-Girons;009;1;42.9775282923, 1.15048006925
2021;0090019X;Lycée professionnel Aristide Bergès;Saint-Girons;009;1;42.961643947, 1.09161975514
2021;0300041G;Lycée professionnel Marie Curie;Saint-Jean-du-Gard;030;1;44.101103104, 3.88580322928
2018;0340069R;Lycée professionnel Jacques Brel;Saint-Pons-de-Thomières;034;1;43.4878553819, 2.76470974603
2021;0340069R;Lycée professionnel Jacques Brel;Saint-Pons-de-Thomières;034;2;43.4878553819, 2.76470974603
2019;0090024C;Lycée professionnel Dr Philippe Tissie;Saverdun;009;1;43.2339129826, 1.57967041613
2021;0090024C;Lycée professionnel Dr Philippe Tissie;Saverdun;009;1;43.2339129826, 1.57967041613
2018;0342091N;Lycée polyvalent Marc Bloch;Sérignan;034;1;43.263181338, 3.28458054667
2017;0340076Y;Lycée d'enseignement général et technologique Irène et Frédéric Joliot Curie;Sète;034;2;43.3962447797, 3.66671052437
2018;0340075X;Lycée d'enseignement général Paul Valéry;Sète;034;2;43.4014167183, 3.69198953669
2021;0341699M;Lycée de la Mer Paul Bousquet;Sète;034;1;43.4233946459, 3.67449034588
2019;0460529A;Lycée professionnel Hôtelier Quercy Périgord;Souillac;046;1;44.8954986436, 1.4706205193
2019;0650138X;Lycée professionnel Tarbes;Tarbes;065;1;43.239429, 0.064369
2019;0650025Z;Lycée d'enseignement général Théophile Gautier;Tarbes;065;1;43.2337579174, 0.071970512389
2019;0650027B;Lycée d'enseignement général et technologique des Métiers Jean Dupuy;Tarbes;065;1;43.2295156467, 0.0645498361497
2021;0650025Z;Lycée d'enseignement général Théophile Gautier;Tarbes;065;2;43.2337579174, 0.071970512389
2019;0660699B;Lycée d'enseignement général et technologique Agricole Fédérico Garcia Lorca;Théza;066;3;42.645731, 2.937149
2021;0660699B;Lycée d'enseignement général et technologique Agricole de Perpignan Théza;Théza;066;1;42.6455959599, 2.9373497084
2017;0310039Z;Lycée d'enseignement général et technologique Marcelin Berthelot;Toulouse;031;1;43.587369724, 1.44316036526
2017;0311586F;Lycée d'enseignement général et technologique Toulouse Lautrec;Toulouse;031;1;43.6268191285, 1.44212044299
2018;0310044E;Lycée polyvalent Déodat de Séverac;Toulouse;031;1;43.5891404207, 1.42645980489
2018;0310051M;Lycée professionnel Guynemer;Toulouse;031;1;43.5873901144, 1.45208006422
2018;0310056T;Lycée professionnel Gabriel Péri;Toulouse;031;1;43.6058953911, 1.45491966936
2019;0310051M;Lycée professionnel Guynemer;Toulouse;031;1;43.5873901144, 1.45208006422
2019;0311323V;Lycée d'enseignement général et technologique Rive Gauche;Toulouse;031;1;43.5854129782, 1.39778022284
2021;0310052N;Lycée professionnel Roland Garros;Toulouse;031;1;43.6295562041, 1.42869981778
2021;0310057U;Lycée professionnel Hélène Boucher;Toulouse;031;1;43.6135292772, 1.43390012746
2021;0312267W;Lycée d'enseignement général et technologique des Arènes;Toulouse;031;1;43.5922462558, 1.41860012796
2019;0312746S;Lycée polyvalent Marie Louise Dissard Françoise;Tournefeuille;031;1;43.5766897088, 1.31268051419
2017;0820899G;Lycée polyvalent Jean Baylet;Valence;082;2;44.1136116201, 0.896530489756
2019;0650035K;Lycée professionnel Pierre Mendès France;Vic-en-Bigorre;065;1;43.3887579296, 0.056319712331
2019;0650038N;Lycée d'enseignement général Pierre Mendès France;Vic-en-Bigorre;065;1;43.3887579296, 0.056319712331
2021;0312915A;Lycée polyvalent Léon Blum;Villefranche-de-Lauragais;031;2;43.4004629981, 1.72937996881
2019;0121178R;Établissement régional d'enseignement adapté;Villefranche-de-Rouergue;012;1;44.3506941408, 2.00269023412
2021;0120031U;Lycée d'enseignement général et technologique Raymond Savignac;Villefranche-de-Rouergue;012;1;44.3546424798, 2.03704937648
2017;0660026V;Lycée professionnel Alfred Sauvy;Villelongue-dels-Monts;066;1;42.5438599342, 2.89186960559
