Année;RNE;Nom établissement;Localité;Département;Niveau de Label;Position
2019;0480657D;Lycée ens général technologique professionnel agricole Agricole Louis Pasteur;La Canourgue;048;1;44.4296667, 3.223055555555556
2021;0810030T;Lycée d'enseignement général Las Cases;Lavaur;081;1;43.699565241, 1.82042999045
2018;0300052U;Lycée polyvalent André Chamson;Le Vigan;030;1;43.9896196067, 3.60113045243
2019;0300052U;Lycée polyvalent André Chamson;Le Vigan;030;1;43.9896196067, 3.60113045243
2021;0111048E;Lycée polyvalent Érnest Ferroul;Lézignan-Corbières;011;2;43.1817404504, 2.75881965271
2018;0340028W;Lycée polyvalent Joseph Vallot;Lodève;034;2;43.7309746362, 3.31485059789
2019;0340028W;Lycée polyvalent Joseph Vallot;Lodève;034;2;43.7309746362, 3.31485059789
2017;0650014M;Lycée professionnel de l'Arrouza;Lourdes;065;1;43.0899003529, -0.0488904495107
2018;0650014M;Lycée professionnel de l'Arrouza;Lourdes;065;1;43.0899003529, -0.0488904495107
2019;0650014M;Lycée professionnel de l'Arrouza;Lourdes;065;1;43.0899003529, -0.0488904495107
2021;0340030Y;Lycée polyvalent Louis Feuillade;Lunel;034;2;43.6709371975, 4.12241051571
2021;0811144D;Lycée professionnel Hôtelier;Mazamet;081;1;43.5045256663, 2.38351985365
2019;0320557G;Lycée professionnel Mirande;Mirande;032;1;43.530172, 0.401851
2021;0320023B;Lycée polyvalent Alain Fournier;Mirande;032;1;43.5169094414, 0.40423046772
2021;0320557G;Lycée professionnel de Mirande;Mirande;032;2;43.5301351873, 0.401709982471
2019;0820559M;Lycée ens général technologique professionnel agricole Agricole;Montauban;082;1;44.031948, 1.314747
2019;0820020B;Lycée d'enseignement général Michelet;Montauban;082;1;44.0142380592, 1.36266992623
2021;0820020B;Lycée d'enseignement général Jules Michelet;Montauban;082;2;44.0142380592, 1.36266992623
2018;0820883P;Lycée d'enseignement général et technologique Claude Nougaro;Monteils;082;1;44.1731024258, 1.56522950126
2017;0340038G;Lycée d'enseignement général et technologique Joffre;Montpellier;034;1;43.6120782561, 3.88470980317
2017;0340045P;Lycée professionnel Jules Ferry;Montpellier;034;1;43.606075055, 3.84160977179
2017;0342225J;Lycée polyvalent des Métiers Georges Frêche;Montpellier;034;2;43.6049332853, 3.91206971476
2018;0340043M;Lycée professionnel Pierre Mendès France;Montpellier;034;2;43.5976816426, 3.91826025291
2018;0340833W;Établissement régional d'enseignement adapté Jean Jacques Rousseau;Montpellier;034;1;43.6068886778, 3.84053941834
2018;0341736C;Lycée d'enseignement général et technologique Jean Monnet;Montpellier;034;2;43.628708597, 3.83093651783
2019;0340043M;Lycée professionnel Pierre Mendès France;Montpellier;034;2;43.5976816426, 3.91826025291
2019;0340833W;Établissement régional d'enseignement adapté Jean Jacques Rousseau;Montpellier;034;1;43.6068886778, 3.84053941834
2019;0341385W;Lycée professionnel Lycée Léonard de Vinci;Montpellier;034;1;43.6229146115, 3.83258051585
2021;0340039H;Lycée d'enseignement général et technologique Georges Clémenceau;Montpellier;034;1;43.6026634567, 3.873020613
2021;0340040J;Lycée polyvalent Jules Guesde;Montpellier;034;1;43.6117160758, 3.8479700774
2021;0340043M;Lycée professionnel Pierre Mendès France;Montpellier;034;1;43.5976816426, 3.91826025291
2021;0340128E;Lycée d'enseignement général et technologique Agricole de l'Hérault;Montpellier;034;1;43.6466218888, 3.86404045181
2021;0340833W;Établissement régional d'enseignement adapté Jean Jacques Rousseau;Montpellier;034;1;43.6068886778, 3.84053941834
2018;0310024H;Lycée d'enseignement général et technologique Pierre d'Aragon;Muret;031;2;43.4542722924, 1.33068939434
2019;0311240E;Établissement régional d'enseignement adapté;Muret;031;1;43.4491796446, 1.31670977687
2021;0311240E;Établissement régional d'enseignement adapté de Muret;Muret;031;1;43.4491796446, 1.31670977687
2021;0312822Z;Lycée polyvalent des Métiers Charles de Gaulle;Muret;031;1;43.4688650393, 1.32162060132
2017;0110022P;Lycée d'enseignement général et technologique Docteur Lacroix;Narbonne;011;3;43.1775350538, 3.00219016219
2017;0110023R;Lycée polyvalent Louise Michel;Narbonne;011;1;43.1895828012, 3.0194500406
2017;0300023M;Lycée d'enseignement général et technologique Albert Camus;Nîmes;030;3;43.8354908641, 4.34554004061
2017;0300058A;Lycée professionnel des Métiers Frédéric Mistral;Nîmes;030;1;43.8228290113, 4.36043026789
2017;0301552Z;Lycée d'enseignement général et technologique Philippe Lamour;Nîmes;030;1;43.831576246, 4.3848306214
2018;0300023M;Lycée d'enseignement général et technologique Albert Camus;Nîmes;030;3;43.8354908641, 4.34554004061
2018;0301210C;Lycée professionnel Voltaire;Nîmes;030;1;43.8267667577, 4.33706002093
2019;0300058A;Lycée professionnel des Métiers Frédéric Mistral;Nîmes;030;1;43.8228290113, 4.36043026789
2021;0300023M;Lycée d'enseignement général et technologique Albert Camus;Nîmes;030;3;43.8354908641, 4.34554004061
2021;0301210C;Lycée professionnel Voltaire;Nîmes;030;2;43.8267667577, 4.33706002093
2021;0301270T;Lycée professionnel Jules Raimu;Nîmes;030;1;43.8194463251, 4.33025974761
2017;0312354R;Lycée d'enseignement général et technologique Legta d'Ondes;Ondes;031;1;43.780091, 1.320569
2019;0312354R;Lycée d'enseignement général et technologique Legta d'Ondes;Ondes;031;1;43.780091, 1.320569
2017;0090022A;Lycée d'enseignement général et technologique Agricole Epla de Pamiers;Pamiers;009;1;43.123536, 1.643413
2021;0090015T;Lycée polyvalent Pyrène;Pamiers;009;1;43.1149360138, 1.60903977104
2018;0660010C;Lycée d'enseignement général et technologique François Arago;Perpignan;066;1;42.6947528759, 2.8860399788
2018;0660078B;Établissement régional d'enseignement adapté Joan Miro;Perpignan;066;1;42.6792906474, 2.8951702806
2018;0660809W;Lycée polyvalent Aristide Maillol;Perpignan;066;3;42.7175723734, 2.88617943594
2019;0660078B;Établissement régional d'enseignement adapté Joan Miro;Perpignan;066;1;42.6792906474, 2.8951702806
