NIVEAU LABEL;COMMUNE;ECOLE;NBR CLASSES;UAI;position
2;BOURGS SUR COLAGNE;ECOLE PRIMAIRE PUBLIQUE;3.0;0480202J;44.52305084408638,3.265390273987634
2;MONTS-DE-RANDON;ECOLE PRIMAIRE PUBLIQUE GRAINES DE PLUME;3.0;0480268F;44.63161672483113,3.480051790714194
2;BAHO;ECOLE ELEMENTAIRE PUBLIQUE;8.0;0660262B;42.69875974485528,2.8207403851581434
3;MONTSERET;ECOLE ELEMENTAIRE PUBLIQUE;3.0;0110418V;43.10377635385279,2.8100705314872556
3;MOUSSAN;ECOLE ELEMENTAIRE PUBLIQUE;5.0;0110420X;43.23010479631528,2.950530089632768
3;NARBONNE;ECOLE ELEMENTAIRE PUBLIQUE LEON BLUM;6.0;0110433L;43.18346413841896,3.0162005049479887
3;LES ANGLES;ECOLE ELEMENTAIRE PUBLIQUE JULES FERRY;7.0;0300206L;43.95367961729591,4.773079909052717
3;FOURNES;ECOLE PRIMAIRE PUBLIQUE LES AIRES BLANCHES;5.0;0300371R;43.92863943800736,4.602159864515072
3;SAINT-GENIES-DE-COMOLAS;ECOLE ELEMENTAIRE PUBLIQUE EDMOND FAURE;6.0;0300715P;44.06356736361597,4.721670387209432
3;MENDE;ECOLE ELEMENTAIRE PUBLIQUE GROUPE SCOLAIRE JEAN BONIJOL;14.0;0480668R;44.51893506230408,3.503416568068562
1;NARBONNE;ECOLE ELEMENTAIRE PUBLIQUE JEAN MACE;8.0;0110439T;43.194434340912665,3.015820006291486
1;OUVEILLAN;ECOLE ELEMENTAIRE PUBLIQUE;6.0;0110462T;43.28771193777073,2.9665897938772683
1;ALES;ECOLE ELEMENTAIRE PUBLIQUE FREDERIC MISTRAL;5.0;0300161M;44.12523887506145,4.081010067929435
1;GAUJAC;ECOLE PRIMAIRE PUBLIQUE;4.0;0300389K;44.07802183413515,4.577809971948004
1;UCHAUD;ECOLE ELEMENTAIRE PUBLIQUE DOCTEUR YVES LIOTARD;11.0;0301223S;43.75940961948732,4.265689528082444
1;CLARENSAC;ECOLE ELEMENTAIRE PUBLIQUE MARIE PAPE CARPANTIER;12.0;0300333Z;43.82739781107096,4.231340506096117
1;LE GRAU-DU-ROI;ECOLE ELEMENTAIRE PUBLIQUE ANDRE QUET;14.0;0301334M;43.53606965037302,4.139310081920211
1;ALES;ECOLE ELEMENTAIRE PUBLIQUE GERMAIN DAVID;9.0;0301019V;44.11703533695231,4.0861694073924655
1;CORNILLON;ECOLE PRIMAIRE PUBLIQUE ST NABOR;6.0;0301437Z;44.21801938475514,4.486819455941418
1;GENERAC;ECOLE ELEMENTAIRE PUBLIQUE LI FLOU D'ARMAS;9.0;0301386U;43.72988818783403,4.345750248044488
