uai;niveau_label;commune;ecole;nbr_classes;latitude;longitude;niveau;nom_ecole;Rentrée scolaire;Académie;Code du département;Département;Nom de l'établissment;Code INSEE de la commune;Nom de la commune;Secteur;IPS
0110763V;3;VILLENEUVE-MINERVOIS;ECOLE PRIMAIRE PUBLIQUE;4.0;43.31472848869814;2.4635904032365334;primaire;non renseigné;2021-2022;MONTPELLIER;011;AUDE;ECOLE PRIMAIRE;11433;VILLENEUVE MINERVOIS;public;93.7
0300684F;3;SAINT-ANDRE-D'OLERARGUES;ECOLE PRIMAIRE PUBLIQUE;2.0;44.16334940342226;4.484557625599633;primaire;non renseigné;2021-2022;MONTPELLIER;030;GARD;ECOLE PRIMAIRE;30232;SAINT ANDRE D OLERARGUES;public;117.0
0300740S;3;SAINT-JEAN-DE-VALERISCLE;ECOLE PRIMAIRE PUBLIQUE;2.0;44.23169534684859;4.144219942746607;primaire;non renseigné;2021-2022;MONTPELLIER;030;GARD;ECOLE PRIMAIRE;30268;SAINT JEAN DE VALERISCLE;public;83.6
0301256C;3;NIMES;ECOLE ELEMENTAIRE PUBLIQUE JOSEPH LAKANAL;14.0;43.82222026362693;4.3369511950620225;elementaire;joseph lakanal;2021-2022;MONTPELLIER;030;GARD;ECOLE ELEMENTAIRE LAKANAL;30189;NIMES;public;66.6
0301636R;3;THEZIERS;ECOLE PRIMAIRE PUBLIQUE LA GADILLE;5.0;43.90290287825119;4.620519756022152;primaire;la gadille;2021-2022;MONTPELLIER;030;GARD;ECOLE PRIMAIRE LA GADILLE;30328;THEZIERS;public;101.5
0340180L;3;BALARUC-LE-VIEUX;ECOLE ELEMENTAIRE PUBLIQUE;7.0;43.46021445886345;3.6869893886294767;elementaire;non renseigné;2021-2022;MONTPELLIER;034;HERAULT;ECOLE ELEMENTAIRE;34024;BALARUC LE VIEUX;public;113.4
0480116R;3;ANTRENAS;ECOLE ELEMENTAIRE PUBLIQUE;1.0;44.58027203093805;3.2660901552131074;elementaire;non renseigné;2021-2022;MONTPELLIER;048;LOZERE;ECOLE PRIMAIRE;48005;ANTRENAS;public;109.3
0480581W;3;PEYRE EN AUBRAC;ECOLE PRIMAIRE PUBLIQUE AUMONT-AUBRAC;5.0;44.72225826740851;3.291080157604157;primaire;aumont-aubrac;2021-2022;MONTPELLIER;048;LOZERE;ECOLE PRIMAIRE (AUMONT AUBRAC);48009;PEYRE EN AUBRAC;public;108.8
0660403E;3;DORRES;ECOLE ELEMENTAIRE PUBLIQUE;1.0;42.48479285032954;1.9410594896038114;elementaire;non renseigné;2021-2022;MONTPELLIER;066;PYRENEES-ORIENTALES;ECOLE ELEMENTAIRE;66062;DORRES;public;107.7
0660793D;3;POLLESTRES;ECOLE ELEMENTAIRE PUBLIQUE PAU CASALS;12.0;42.64119106758858;2.8685202687729;elementaire;pau casals;2021-2022;MONTPELLIER;066;PYRENEES-ORIENTALES;ECOLE ELEMENTAIRE PAU CASALS;66144;POLLESTRES;public;97.7
