Code_UAI;Millesime;Code_nature;nature_uai;typ_etab;Academie;Departement;NbEleve;NbEnseignant;SiEtabCentreRessource;SiProjetNumEcole;SiEntDisponible;SiProjEtabIntegreENT;Maint_PersCollect;Maint_PrestaExt;Maint_PersonnelEducNatHsEtab;Maint_PersonnelEtab;Maint_AutreNeSaitPas;Maint_Personne;NbRessourceEdit;TpRess_ManuelNum;TpRess_AnimScienLogiSimu;TpRess_Bdd;TpRess_LogiOutils;TpRess_OuvRef;TpRess_ResEntrainement;TpRess_Autres;TpRess_aucune;ServInt_NoteElev;ServInt_AbsElev;ServInt_EdtElevCls;ServInt_CahierTxt;ServInt_DocRessPeda;ServInt_AgdActuEtab;ServInt_PlatApp;ServInt_Autres;ServInt_aucun;NbTerminaux;NbTablette;NbTablettePC;NbMicroMoins5;NbMicroPortable;NbPortAffEl;NbPortAffEns;NbEleveEqASH;NbPosteEqASH;NbTBI;propClassesAvecTBI;NbVideoProj;NbClassMobile;NbLecteurMpx;NbImpr3D;AccWeb_RTC;AccWeb_CableFibreOptique;AccWeb_ADSL;AccWeb_AutresHautDebit;AccWeb_NeSaitPas;AccWeb_Aucun;DebitWeb;SiWifi;SalleInternet;PostesInfoElvHorsCours;SiPareFeuEtab;SiOuifiltrageWeb;ControlePosteriori;SiCharteUsageWeb;Diffch_AnnexeeRI;Diffch_DossierRentreeEnseignants;Diffch_CRConseilAdmin;Diffch_DiffusionParents;Diffch_Autres;AccesParentCharte;ElvAuthentif;SiVisioConferenc;SiEntUtilise;TypeMatHandi_Tablette;TypeMatHandi_OrdiPort;TypeMatHandi_LogApp;TypeMatHandi_Autre;Code_region;Libelle_region
0820020B;2019;302;LEGT;G;TOULOUSE;TARN-ET-GARONNE;1150.0;78.0;non;oui;;oui;oui;non;non;oui;non;non;20ouPlus;oui;oui;oui;oui;oui;oui;oui;non;oui;oui;oui;oui;oui;oui;non;oui;non;390.0;0.0;;118.0;146.0;3.0;0.0;3.0;;12.0;20pcta50pct;37.0;4.0;;0.0;non;oui;non;non;non;non;100OuPlus;OuiPerma;50OuPlus;32.0;oui;oui;oui;oui;oui;non;non;non;non;non;;oui;oui;non;oui;oui;non;76;Occitanie
0820029L;2019;340;Collège;C;TOULOUSE;TARN-ET-GARONNE;751.0;52.0;oui;oui;;oui;oui;non;non;oui;non;non;1a4;oui;non;non;non;oui;non;non;non;oui;oui;oui;oui;oui;oui;non;non;non;380.0;220.0;;120.0;221.0;179.0;30.0;2.0;;1.0;Mois20pct;28.0;0.0;;1.0;non;oui;non;non;non;non;De2a10;OuiPerma;50OuPlus;4.0;oui;oui;oui;oui;oui;non;non;non;non;ouiPersonnelEtb;;non;;;;;;76;Occitanie
0820588U;2019;340;Collège;C;TOULOUSE;TARN-ET-GARONNE;1158.0;77.0;oui;oui;;oui;oui;non;non;oui;non;non;1a4;oui;oui;oui;oui;oui;oui;oui;non;oui;oui;oui;oui;oui;oui;oui;oui;non;296.0;42.0;;242.0;42.0;4.0;1.0;4.0;;1.0;Mois20pct;40.0;2.0;;0.0;non;oui;non;non;non;non;100OuPlus;Non;50OuPlus;7.0;oui;oui;oui;oui;oui;non;non;non;non;ouiEntiteExt;;oui;oui;non;oui;oui;oui;76;Occitanie
0820823Z;2019;340;Collège;C;TOULOUSE;TARN-ET-GARONNE;624.0;42.0;non;oui;;oui;oui;non;non;oui;non;non;1a4;oui;oui;non;oui;non;oui;non;non;oui;oui;oui;oui;oui;oui;non;oui;non;136.0;32.0;;105.0;32.0;0.0;0.0;6.0;;0.0;;23.0;2.0;;1.0;non;oui;oui;non;non;non;De2a10;OuiBorneMobile;50OuPlus;9.0;oui;oui;oui;oui;oui;non;non;oui;non;ouiEntiteExt;;non;oui;non;oui;oui;oui;76;Occitanie
0820891Y;2019;340;Collège;C;TOULOUSE;TARN-ET-GARONNE;607.0;41.0;non;oui;;oui;oui;non;non;oui;non;non;5a9;oui;oui;oui;oui;oui;non;non;non;oui;oui;oui;oui;oui;oui;non;non;non;126.0;30.0;;90.0;6.0;0.0;6.0;3.0;;0.0;;16.0;2.0;;;non;non;oui;non;non;non;InfA2;Non;50OuPlus;9.0;oui;oui;;oui;oui;non;non;non;non;ouiEntiteExt;;non;;;;;;76;Occitanie
0090012P;2018;340;Collège;C;TOULOUSE;ARIEGE;305.0;28.0;non;non;oui;non;oui;non;non;oui;non;non;5a9;oui;non;oui;oui;non;oui;non;non;oui;oui;oui;oui;oui;oui;non;non;non;141.0;11.0;3.0;40.0;1.0;0.0;1.0;1.0;1.0;12.0;;5.0;0.0;1.0;;non;oui;oui;non;non;non;10moins50;Non;50pctOuPlus;25.0;oui;oui;oui;oui;oui;non;oui;non;non;non;OuiTous;non;;;;;;76;Occitanie
0090019X;2018;320;LP;P;TOULOUSE;ARIEGE;141.0;28.0;non;oui;oui;oui;oui;oui;oui;oui;non;non;1a4;non;oui;oui;oui;oui;non;oui;non;oui;oui;oui;oui;oui;oui;non;oui;non;210.0;0.0;8.0;160.0;12.0;0.0;0.0;0.0;0.0;6.0;20pcta50pct;17.0;1.0;0.0;0.0;non;oui;non;non;non;non;10moins50;OuiBorneMobile;50pctOuPlus;0.0;oui;oui;oui;oui;oui;oui;non;oui;non;non;OuiTous;non;;;;;;76;Occitanie
0090020Y;2018;320;LP;P;TOULOUSE;ARIEGE;338.0;43.0;non;oui;oui;oui;oui;non;non;oui;non;non;20ouPlus;non;non;oui;oui;oui;oui;oui;non;oui;oui;oui;oui;oui;oui;non;oui;non;198.0;21.0;;58.0;0.0;0.0;0.0;0.0;0.0;3.0;50pctOuPlus;17.0;0.0;16.0;;non;non;oui;oui;non;non;De2a10;OuiBorneMobile;50pctOuPlus;20.0;oui;oui;oui;oui;oui;non;non;non;non;non;OuiTous;non;;;;;;76;Occitanie
0090025D;2018;340;Collège;C;TOULOUSE;ARIEGE;173.0;17.0;non;oui;oui;oui;;;;;;;1a4;non;non;oui;oui;oui;non;non;non;oui;oui;oui;oui;oui;oui;non;non;non;74.0;;;55.0;2.0;0.0;2.0;0.0;0.0;2.0;Mois20pct;8.0;0.0;0.0;;non;oui;non;non;non;non;De2a10;;50pctOuPlus;15.0;oui;oui;;oui;oui;non;non;non;non;ouiEntiteExt;OuiTous;non;;;;;;76;Occitanie
0090478W;2018;340;Collège;C;TOULOUSE;ARIEGE;807.0;52.0;non;oui;oui;oui;oui;non;non;non;non;non;1a4;oui;oui;non;oui;non;non;oui;non;oui;oui;oui;oui;oui;oui;non;oui;non;340.0;122.0;0.0;128.0;94.0;30.0;28.0;;;17.0;Mois20pct;30.0;0.0;0.0;0.0;non;oui;non;non;non;non;10moins50;OuiPerma;50pctOuPlus;10.0;oui;oui;oui;oui;oui;non;non;non;non;non;OuiTous;oui;;;;;;76;Occitanie
